,Neighbourhood,Detailsـtransaction,Date,Total_price,Area,Price_per_meter
8,1353 فى/ 20/ 5/ 1413,785,"Monday, 24 January 2022 ",450000.0,979.80,459.00
9,6 / 8 / 2 / 1429,193/1,"Sunday, 30 January 2022 ",615000.0,300.00,2050.00
10,6 / 8 / 2 / 1429,193/2,"Sunday, 30 January 2022 ",682650.0,333.00,2050.00
11,667/ 23/ 9/ 1410,1976/1,"Monday, 10 January 2022 ",675625.0,287.50,2350.00
12,667/ 23/ 9/ 1410,1978/1,"Monday, 31 January 2022 ",675000.0,300.00,2250.00
13,667/ 23/ 9/ 1410,1980/1,"Monday, 31 January 2022 ",695677.0,309.19,2250.00
14,6868 فى/ 3/ 12/ 1411,54/2,"Tuesday, 4 January 2022 ",1869600.0,334.63,5587.00
15,أحد,172,"Tuesday, 18 January 2022 ",1250000.0,600.00,2083.00
16,أحد,173,"Tuesday, 18 January 2022 ",1245000.0,600.00,2075.00
17,أحد,381,"Sunday, 16 January 2022 ",866250.0,825.00,1050.00
18,أحد,215,"Tuesday, 11 January 2022 ",300000.0,704.00,426.00
19,أخرى,بدون,"Sunday, 30 January 2022 ",450000.0,253.10,1778.00
20,أخرى,550/1,"Monday, 17 January 2022 ",654000.0,300.00,2180.00
21,أخرى,228,"Thursday, 20 January 2022 ",2200000.0,686.00,3207.00
22,أخرى,229,"Thursday, 20 January 2022 ",2000000.0,560.00,3571.00
23,أخرى,ب ى ت/1,"Wednesday, 12 January 2022 ",110000.0,150.85,729.00
24,ارضة الجو منطقة العز…,2086,"Wednesday, 5 January 2022 ",400000.0,630.00,635.00
25,اشبيليا,55/1,"Monday, 10 January 2022 ",580000.0,364.50,1591.00
26,اشبيليا,66,"Tuesday, 4 January 2022 ",1400000.0,625.00,2240.00
27,اشبيليا,26/2,"Thursday, 6 January 2022 ",700000.0,331.25,2113.00
28,اشبيليا,39/1,"Sunday, 30 January 2022 ",1500000.0,600.00,2500.00
29,اشبيليا,9,"Tuesday, 25 January 2022 ",4700000.0,1040.00,4519.00
30,اشبيليا,45/2,"Wednesday, 19 January 2022 ",1140000.0,511.50,2229.00
31,اشبيليا,441/2,"Tuesday, 4 January 2022 ",1844722.0,437.50,4217.00
32,اشبيليا,441/2,"Sunday, 9 January 2022 ",1520000.0,437.50,3474.00
33,اشبيليا,522,"Wednesday, 19 January 2022 ",1000000.0,500.00,2000.00
34,اشبيليا,791,"Monday, 31 January 2022 ",1850000.0,600.00,3083.00
35,اشبيليا,40,"Monday, 24 January 2022 ",3000000.0,863.92,3473.00
36,اشبيليا,152/1,"Sunday, 9 January 2022 ",3317024.0,910.00,3645.00
37,اشبيليا,265/1,"Sunday, 9 January 2022 ",2453975.0,450.00,5453.00
38,اشبيليا,72,"Monday, 10 January 2022 ",2444767.0,609.90,4008.00
39,اشبيليا,43/1,"Tuesday, 4 January 2022 ",1656348.0,391.50,4231.00
40,اشبيليا,144,"Monday, 3 January 2022 ",1800000.0,500.00,3600.00
41,اشبيليا,164/1,"Tuesday, 18 January 2022 ",20000.0,250.00,80.00
42,اشبيليا,253/2,"Sunday, 2 January 2022 ",1600000.0,300.00,5333.00
43,اشبيليا,120/1,"Wednesday, 19 January 2022 ",750000.0,250.00,3000.00
44,الازدهار,1221,"Tuesday, 18 January 2022 ",2475000.0,550.00,4500.00
45,الازدهار,عدد العقارات 3-أول ق…,"Tuesday, 11 January 2022 ",7755000.0,1650.00,4700.00
46,الازدهار,عدد العقارات 3-أول ق…,"Tuesday, 11 January 2022 ",7444800.0,1584.00,4700.00
47,الازدهار,874/1,"Wednesday, 12 January 2022 ",1300000.0,312.00,4167.00
48,الازدهار,122/2,"Tuesday, 11 January 2022 ",1400000.0,237.50,5895.00
49,الازدهار,1011,"Sunday, 30 January 2022 ",480000.0,810.00,593.00
50,الامانة,3233/1,"Wednesday, 5 January 2022 ",1549375.0,462.50,3350.00
51,الامانة,3426,"Saturday, 1 January 2022 ",2000000.0,442.00,4525.00
52,الامانة,575/1,"Monday, 3 January 2022 ",1501500.0,429.00,3500.00
53,الاندلس,316,"Wednesday, 5 January 2022 ",1437500.0,780.00,1843.00
54,الاندلس,756/763/1,"Wednesday, 5 January 2022 ",2300000.0,394.50,5830.00
55,الاندلس,1145/1,"Tuesday, 4 January 2022 ",1800000.0,275.00,6545.00
56,الاندلس,عدد العقارات 3-أول ق…,"Thursday, 13 January 2022 ",7110000.0,2370.00,3000.00
57,الاندلس,71/1/2,"Thursday, 27 January 2022 ",400000.0,225.00,1778.00
58,الاندلس,3,"Monday, 17 January 2022 ",5100000.0,2040.00,2500.00
59,البايونية,424/2,"Monday, 24 January 2022 ",1998000.0,375.00,5328.00
60,البديعة,10/2,"Sunday, 23 January 2022 ",1464940.0,378.00,3876.00
61,البديعة,1128/2,"Tuesday, 18 January 2022 ",925116.0,312.50,2960.00
62,البديعة,1504/4,"Thursday, 20 January 2022 ",500000.0,187.50,2667.00
63,البديعة,2175,"Wednesday, 26 January 2022 ",700000.0,400.00,1750.00
64,البديعة,2396,"Thursday, 6 January 2022 ",1250000.0,528.00,2367.00
65,البديعة,2745,"Tuesday, 18 January 2022 ",1450000.0,575.00,2522.00
66,البديعة,3296/2,"Monday, 10 January 2022 ",1200000.0,375.00,3200.00
67,البديعة,3298/1,"Sunday, 23 January 2022 ",200000.0,375.00,533.00
68,البديعة,3298/2,"Sunday, 23 January 2022 ",200000.0,375.00,533.00
69,البديعة,3300/1,"Sunday, 23 January 2022 ",200000.0,375.00,533.00
70,البديعة,3300/2,"Sunday, 23 January 2022 ",200000.0,375.00,533.00
71,البديعة,4903,"Thursday, 6 January 2022 ",782000.0,625.00,1251.00
72,البديعة,1774,"Tuesday, 18 January 2022 ",745000.0,462.00,1613.00
73,البديعة,2182,"Wednesday, 19 January 2022 ",840000.0,600.00,1400.00
74,البديعة,2529/2/2,"Wednesday, 12 January 2022 ",1340000.0,315.00,4254.00
75,البديعة,3287/1/3289/1,"Saturday, 15 January 2022 ",1200000.0,720.00,1667.00
76,البديعة,3288,"Saturday, 15 January 2022 ",700000.0,750.00,933.00
77,البديعة,4337/2,"Sunday, 9 January 2022 ",700000.0,276.00,2536.00
78,البديعة,4654,"Thursday, 6 January 2022 ",1400000.0,650.00,2154.00
79,البديعة,5106/4/1,"Sunday, 9 January 2022 ",1295000.0,315.00,4111.00
80,البديعة,142/6,"Monday, 17 January 2022 ",630000.0,400.00,1575.00
81,البديعة,29,"Thursday, 27 January 2022 ",1230000.0,750.00,1640.00
82,البديعة,6/2,"Sunday, 23 January 2022 ",1850000.0,375.00,4933.00
83,البديعة,4/أ,"Wednesday, 12 January 2022 ",930000.0,600.00,1550.00
84,البديعة,بدون,"Monday, 3 January 2022 ",230000.0,121.50,1893.00
85,البديعة,بدون,"Thursday, 20 January 2022 ",400000.0,111.36,3592.00
86,البديعة,بدون,"Tuesday, 25 January 2022 ",694000.0,1150.68,603.00
87,البرية,117,"Tuesday, 4 January 2022 ",300000.0,798.30,376.00
88,البرية,165,"Tuesday, 11 January 2022 ",400000.0,630.00,635.00
89,البرية,227,"Monday, 10 January 2022 ",500000.0,900.00,556.00
90,البرية,392,"Monday, 24 January 2022 ",380000.0,690.00,551.00
91,البرية,629,"Thursday, 20 January 2022 ",350000.0,625.00,560.00
