Neighbourhood,Plannedـtransactionـdetails,Detailsـtransaction,Date,transactionـnumber,Total_price,Area,Price_per_meter
10186 فى/ 28/ 7/ 142…,مخطط/3738,قطعة 176,"Thursday, 13 January 2022 ",15906251,834782.00,642.14,1300.00
10186 فى/ 28/ 7/ 142…,مخطط/3738,قطعة 178,"Thursday, 13 January 2022 ",15906446,780000.00,600.00,1300.00
10186 فى/ 28/ 7/ 142…,مخطط/3738,قطعة 180,"Thursday, 13 January 2022 ",15906513,780000.00,600.00,1300.00
10186 فى/ 28/ 7/ 142…,مخطط/3738,قطعة 182,"Thursday, 13 January 2022 ",15906597,780000.00,600.00,1300.00
10186 فى/ 28/ 7/ 142…,مخطط/3738,قطعة 184,"Thursday, 13 January 2022 ",15906669,772688.00,594.38,1300.00
10186 فى/ 28/ 7/ 142…,مخطط/3738,قطعة 186,"Thursday, 13 January 2022 ",15906684,772688.00,594.38,1300.00
10186 فى/ 28/ 7/ 142…,مخطط/3738,قطعة 188,"Thursday, 13 January 2022 ",15906775,780000.00,600.00,1300.00
10186 فى/ 28/ 7/ 142…,مخطط/3738,قطعة 190,"Thursday, 13 January 2022 ",15906804,871650.00,670.50,1300.00
1353 فى/ 20/ 5/ 1413,مخطط/3212,قطعة 785,"Monday, 24 January 2022 ",15988483,450000.00,979.80,459.00
6 / 8 / 2 / 1429,مخطط/3240/ أ,قطعة 193/1,"Sunday, 30 January 2022 ",16052150,615000.00,300.00,2050.00
6 / 8 / 2 / 1429,مخطط/3240/ أ,قطعة 193/2,"Sunday, 30 January 2022 ",16051766,682650.00,333.00,2050.00
667/ 23/ 9/ 1410,مخطط/3242,قطعة 1976/1,"Monday, 10 January 2022 ",15874769,675625.00,287.50,2350.00
667/ 23/ 9/ 1410,مخطط/3242,قطعة 1978/1,"Monday, 31 January 2022 ",16066882,675000.00,300.00,2250.00
667/ 23/ 9/ 1410,مخطط/3242,قطعة 1980/1,"Monday, 31 January 2022 ",16066927,695677.00,309.19,2250.00
6868 فى/ 3/ 12/ 1411,مخطط/3804,قطعة 54/2,"Tuesday, 4 January 2022 ",15815892,1869600.00,334.63,5587.00
أحد,مخطط/2022,قطعة 172,"Tuesday, 18 January 2022 ",15942311,1250000.00,600.00,2083.00
أحد,مخطط/2022,قطعة 173,"Tuesday, 18 January 2022 ",15941902,1245000.00,600.00,2075.00
أحد,مخطط/2485,قطعة 381,"Sunday, 16 January 2022 ",15920608,866250.00,825.00,1050.00
أحد,مخطط/3152,قطعة 215,"Tuesday, 11 January 2022 ",15879149,300000.00,704.00,426.00
أخرى,مخطط/1669,قطعة بدون,"Sunday, 30 January 2022 ",16022794,450000.00,253.10,1778.00
أخرى,مخطط/3242,قطعة 550/1,"Monday, 17 January 2022 ",15935092,654000.00,300.00,2180.00
أخرى,مخطط/897,قطعة 228,"Thursday, 20 January 2022 ",15970864,2200000.00,686.00,3207.00
أخرى,مخطط/897,قطعة 229,"Thursday, 20 January 2022 ",15970922,2000000.00,560.00,3571.00
أخرى,مخطط/أخرى,قطعة ب ى ت/1,"Wednesday, 12 January 2022 ",15884966,110000.00,150.85,729.00
ارضة الجو منطقة العز…,مخطط/2740/ أ,قطعة 2086,"Wednesday, 5 January 2022 ",15836431,400000.00,630.00,635.00
اشبيليا,مخطط/2495/ أ,قطعة 55/1,"Monday, 10 January 2022 ",15872813,580000.00,364.50,1591.00
اشبيليا,مخطط/2733,قطعة 66,"Tuesday, 4 January 2022 ",15822958,1400000.00,625.00,2240.00
اشبيليا,مخطط/2888,قطعة 26/2,"Thursday, 6 January 2022 ",15840903,700000.00,331.25,2113.00
اشبيليا,مخطط/2932,قطعة 39/1,"Sunday, 30 January 2022 ",16054486,1500000.00,600.00,2500.00
اشبيليا,مخطط/2935,قطعة 9,"Tuesday, 25 January 2022 ",16015427,4700000.00,1040.00,4519.00
اشبيليا,مخطط/2958/ أ,قطعة 45/2,"Wednesday, 19 January 2022 ",15952934,1140000.00,511.50,2229.00
اشبيليا,مخطط/2979,قطعة 441/2,"Tuesday, 4 January 2022 ",15820390,1844722.00,437.50,4217.00
اشبيليا,مخطط/2979,قطعة 441/2,"Sunday, 9 January 2022 ",15860296,1520000.00,437.50,3474.00
اشبيليا,مخطط/2979,قطعة 522,"Wednesday, 19 January 2022 ",15952517,1000000.00,500.00,2000.00
اشبيليا,مخطط/2979,قطعة 791,"Monday, 31 January 2022 ",16065597,1850000.00,600.00,3083.00
اشبيليا,مخطط/3010,قطعة 40,"Monday, 24 January 2022 ",15991978,3000000.00,863.92,3473.00
اشبيليا,مخطط/3011,قطعة 152/1,"Sunday, 9 January 2022 ",15858235,3317024.00,910.00,3645.00
اشبيليا,مخطط/3011,قطعة 265/1,"Sunday, 9 January 2022 ",15855449,2453975.00,450.00,5453.00
اشبيليا,مخطط/3011,قطعة 72,"Monday, 10 January 2022 ",15870441,2444767.00,609.90,4008.00
اشبيليا,مخطط/3159,قطعة 43/1,"Tuesday, 4 January 2022 ",15817806,1656348.00,391.50,4231.00
اشبيليا,مخطط/3183,قطعة 144,"Monday, 3 January 2022 ",15805519,1800000.00,500.00,3600.00
اشبيليا,مخطط/3183,قطعة 164/1,"Tuesday, 18 January 2022 ",15930617,20000.00,250.00,80.00
اشبيليا,مخطط/3183,قطعة 253/2,"Sunday, 2 January 2022 ",15797548,1600000.00,300.00,5333.00
اشبيليا,مخطط/مربعات,قطعة 120/1,"Wednesday, 19 January 2022 ",15959864,750000.00,250.00,3000.00
الازدهار,مخطط/1822/ أ,قطعة 1221,"Tuesday, 18 January 2022 ",15949851,2475000.00,550.00,4500.00
الازدهار,مخطط/1822/ أ,عدد العقارات 3-أول ق…,"Tuesday, 11 January 2022 ",15887551,7755000.00,1650.00,4700.00
الازدهار,مخطط/1822/ أ,عدد العقارات 3-أول ق…,"Tuesday, 11 January 2022 ",15887527,7444800.00,1584.00,4700.00
الازدهار,مخطط/1822/ ج,قطعة 874/1,"Wednesday, 12 January 2022 ",15893473,1300000.00,312.00,4167.00
الازدهار,مخطط/1822/ د,قطعة 122/2,"Tuesday, 11 January 2022 ",15886058,1400000.00,237.50,5895.00
الازدهار,مخطط/3145,قطعة 1011,"Sunday, 30 January 2022 ",16052407,480000.00,810.00,593.00
الامانة,مخطط/2078/ أ ب,قطعة 3233/1,"Wednesday, 5 January 2022 ",15831828,1549375.00,462.50,3350.00
الامانة,مخطط/2078/ أ ب,قطعة 3426,"Saturday, 1 January 2022 ",15791219,2000000.00,442.00,4525.00
الامانة,مخطط/2357,قطعة 575/1,"Monday, 3 January 2022 ",15811059,1501500.00,429.00,3500.00
الاندلس,مخطط/1628,قطعة 316,"Wednesday, 5 January 2022 ",15832003,1437500.00,780.00,1843.00
الاندلس,مخطط/1628,قطعة 756/763/1,"Wednesday, 5 January 2022 ",15836137,2300000.00,394.50,5830.00
الاندلس,مخطط/1896,قطعة 1145/1,"Tuesday, 4 January 2022 ",15820611,1800000.00,275.00,6545.00
الاندلس,مخطط/1896,عدد العقارات 3-أول ق…,"Thursday, 13 January 2022 ",15904555,7110000.00,2370.00,3000.00
الاندلس,مخطط/3188,قطعة 71/1/2,"Thursday, 27 January 2022 ",16039231,400000.00,225.00,1778.00
الاندلس,مخطط/أخرى,قطعة 3,"Monday, 17 January 2022 ",15932881,5100000.00,2040.00,2500.00
البايونية,مخطط/3804,قطعة 424/2,"Monday, 24 January 2022 ",15993190,1998000.00,375.00,5328.00
البديعة,مخطط/1638,قطعة 10/2,"Sunday, 23 January 2022 ",15981611,1464940.00,378.00,3876.00
البديعة,مخطط/1638,قطعة 1128/2,"Tuesday, 18 January 2022 ",15947773,925116.00,312.50,2960.00
البديعة,مخطط/1638,قطعة 1504/4,"Thursday, 20 January 2022 ",15973340,500000.00,187.50,2667.00
البديعة,مخطط/1638,قطعة 2175,"Wednesday, 26 January 2022 ",16019104,700000.00,400.00,1750.00
البديعة,مخطط/1638,قطعة 2396,"Thursday, 6 January 2022 ",15845437,1250000.00,528.00,2367.00
البديعة,مخطط/1638,قطعة 2745,"Tuesday, 18 January 2022 ",15948599,1450000.00,575.00,2522.00
البديعة,مخطط/1638,قطعة 3296/2,"Monday, 10 January 2022 ",15872327,1200000.00,375.00,3200.00
البديعة,مخطط/1638,قطعة 3298/1,"Sunday, 23 January 2022 ",15988251,200000.00,375.00,533.00
البديعة,مخطط/1638,قطعة 3298/2,"Sunday, 23 January 2022 ",15988235,200000.00,375.00,533.00
البديعة,مخطط/1638,قطعة 3300/1,"Sunday, 23 January 2022 ",15988199,200000.00,375.00,533.00
البديعة,مخطط/1638,قطعة 3300/2,"Sunday, 23 January 2022 ",15988220,200000.00,375.00,533.00
البديعة,مخطط/1638,قطعة 4903,"Thursday, 6 January 2022 ",15777432,782000.00,625.00,1251.00
البديعة,مخطط/1638/ ب,قطعة 1774,"Tuesday, 18 January 2022 ",15945862,745000.00,462.00,1613.00
البديعة,مخطط/1638/ ب,قطعة 2182,"Wednesday, 19 January 2022 ",15951988,840000.00,600.00,1400.00
البديعة,مخطط/1638/ ب,قطعة 2529/2/2,"Wednesday, 12 January 2022 ",15897443,1340000.00,315.00,4254.00
البديعة,مخطط/1638/ ب,قطعة 3287/1/3289/1,"Saturday, 15 January 2022 ",15910945,1200000.00,720.00,1667.00
البديعة,مخطط/1638/ ب,قطعة 3288,"Saturday, 15 January 2022 ",15910929,700000.00,750.00,933.00
البديعة,مخطط/1638/ ب,قطعة 4337/2,"Sunday, 9 January 2022 ",15854272,700000.00,276.00,2536.00
البديعة,مخطط/1638/ ب,قطعة 4654,"Thursday, 6 January 2022 ",15847708,1400000.00,650.00,2154.00
البديعة,مخطط/1638/ ب,قطعة 5106/4/1,"Sunday, 9 January 2022 ",15856864,1295000.00,315.00,4111.00
البديعة,مخطط/2008/ د,قطعة 142/6,"Monday, 17 January 2022 ",15931426,630000.00,400.00,1575.00
البديعة,مخطط/2481,قطعة 29,"Thursday, 27 January 2022 ",16021738,1230000.00,750.00,1640.00
البديعة,مخطط/2481,قطعة 6/2,"Sunday, 23 January 2022 ",15983529,1850000.00,375.00,4933.00
البديعة,مخطط/أخرى,قطعة 4/أ,"Wednesday, 12 January 2022 ",15896755,930000.00,600.00,1550.00
البديعة,مخطط/أخرى,قطعة بدون,"Monday, 3 January 2022 ",15812053,230000.00,121.50,1893.00
البديعة,مخطط/أخرى,قطعة بدون,"Thursday, 20 January 2022 ",15969264,400000.00,111.36,3592.00
