,,,,,,,
16 كم جنوب مسلخ البل…,مخطط/3242,قطعة 1673/1,1444/04/26,18606801,500000.00,345.01,1449.00
16/ 2/ 2/ 1442,مخطط/3242,قطعة 502/1,1444/04/28,18626120,861390.00,337.80,2550.00
16/ 2/ 2/ 1442,مخطط/3242,قطعة 502/2,1444/04/28,18626152,795422.00,311.93,2550.00
16/ 2/ 2/ 1442,مخطط/3242,قطعة 503/1,1444/04/28,18626200,726954.00,285.08,2550.00
16/ 2/ 2/ 1442,مخطط/3242,قطعة 503/2,1444/04/28,18625998,787861.00,308.97,2550.00
16/ 2/ 2/ 1442,مخطط/3242,قطعة 504/1,1444/04/28,18626481,765000.00,300.00,2550.00
16/ 2/ 2/ 1442,مخطط/3242,قطعة 504/2,1444/04/28,18626511,765000.00,300.00,2550.00
16/ 2/ 2/ 1442,مخطط/3242,قطعة 505/1,1444/04/28,18626327,765000.00,300.00,2550.00
16/ 2/ 2/ 1442,مخطط/3242,قطعة 505/2,1444/04/28,18626321,765000.00,300.00,2550.00
16/ 2/ 2/ 1442,مخطط/3242,قطعة 506/1,1444/04/28,18626185,765000.00,300.00,2550.00
16/ 2/ 2/ 1442,مخطط/3242,قطعة 506/2,1444/04/28,18626205,765000.00,300.00,2550.00
16/ 2/ 2/ 1442,مخطط/3242,قطعة 507/1,1444/04/28,18626347,894094.00,350.63,2550.00
16/ 2/ 2/ 1442,مخطط/3242,قطعة 507/2,1444/04/28,18626352,765000.00,300.00,2550.00
16/ 2/ 2/ 1442,مخطط/3242,قطعة 508/1,1444/04/28,18626434,765000.00,300.00,2550.00
16/ 2/ 2/ 1442,مخطط/3242,قطعة 508/2,1444/04/28,18626453,765000.00,300.00,2550.00
16/ 2/ 2/ 1442,مخطط/3242,قطعة 509/1,1444/04/28,18626098,765000.00,300.00,2550.00
16/ 2/ 2/ 1442,مخطط/3242,قطعة 509/2,1444/04/28,18626115,894094.00,350.63,2550.00
16/ 2/ 2/ 1442,مخطط/3242,قطعة 510/1,1444/04/28,18626385,765000.00,300.00,2550.00
16/ 2/ 2/ 1442,مخطط/3242,قطعة 510/2,1444/04/28,18626377,765000.00,300.00,2550.00
16/ 2/ 2/ 1442,مخطط/3242,قطعة 511/1,1444/04/28,18626090,765000.00,300.00,2550.00
16/ 2/ 2/ 1442,مخطط/3242,قطعة 511/2,1444/04/28,18626095,765000.00,300.00,2550.00
16/ 2/ 2/ 1442,مخطط/3242,قطعة 512/1,1444/04/28,18626382,795600.00,312.00,2550.00
16/ 2/ 2/ 1442,مخطط/3242,قطعة 512/2,1444/04/28,18626475,861900.00,338.00,2550.00
16/ 2/ 2/ 1442,مخطط/3242,قطعة 513/1,1444/04/28,18626067,787313.00,308.75,2550.00
16/ 2/ 2/ 1442,مخطط/3242,قطعة 513/2,1444/04/28,18626086,726750.00,285.00,2550.00
2005/ ق/ ت 2150,مخطط/3203/ 1,قطعة 1514,1444/04/07,18442987,1464000.00,480.00,3050.00
2005/ ق/ ت 2150,مخطط/3203/ 1,قطعة 1515,1444/04/07,18443019,1464000.00,480.00,3050.00
2005/ ق/ ت 2150,مخطط/3203/ 1,قطعة 1516,1444/04/22,18583578,1220000.00,400.00,3050.00
332/ س,مخطط/910106060064/ س,قطعة 3331,1444/04/06,18432940,100000.00,350.00,286.00
332/ س,مخطط/910106060064/ س,قطعة 3440,1444/04/26,18606656,500000.00,354.60,1410.00
38/ 2,مخطط/3242,قطعة 798/1,1444/04/29,18629222,1750000.00,300.00,5833.00
9/ ن/ ش/ 1428,مخطط/1638/ ب,قطعة 1027,1444/04/05,18422046,1350000.00,630.00,2143.00
أحد,مخطط/2485,قطعة 84/1/2/1,1444/04/12,18485865,200000.00,248.40,805.00
أحد,مخطط/3361,قطعة 11,1444/04/19,18552937,825000.00,750.00,1100.00
أخرى,مخطط/1410,قطعة 89,1444/04/28,18622592,3400000.00,550.00,6182.00
أخرى,مخطط/1638/ ج,قطعة 6367/1,1444/04/11,18475523,810000.00,360.00,2250.00
أخرى,مخطط/1638/ ج,قطعة 6367/2,1444/04/20,18563892,765000.00,360.00,2125.00
أخرى,مخطط/1638/ ج,قطعة 6369/1,1444/04/11,18475533,810000.00,360.00,2250.00
أخرى,مخطط/1638/ ج,قطعة 6369/2,1444/04/11,18475497,810000.00,360.00,2250.00
أخرى,مخطط/1638/ ج,قطعة 6371/1,1444/04/11,18475489,810000.00,360.00,2250.00
أخرى,مخطط/1638/ ج,قطعة 6371/2,1444/04/11,18475421,1080000.00,480.00,2250.00
أخرى,مخطط/1822/ هـ,قطعة 380/2,1444/04/13,18489769,2250000.00,325.00,6923.00
أخرى,مخطط/2889,قطعة 26/1/1/1,1444/04/21,18573850,3500000.00,950.00,3684.00
أخرى,مخطط/3203/ 1,قطعة 1785,1444/04/22,18583620,982940.00,284.91,3450.00
أخرى,مخطط/3242,قطعة 547/1,1444/04/08,18454775,885000.00,300.00,2950.00
أخرى,مخطط/3242,قطعة 547/2,1444/04/08,18455186,885000.00,300.00,2950.00
أخرى,مخطط/3259,قطعة 163/1,1444/04/14,18484225,1295000.00,350.00,3700.00
أخرى,مخطط/3259,قطعة 163/165/1,1444/04/14,18484184,1295000.00,350.00,3700.00
أخرى,مخطط/3292/ 2,قطعة 180/1,1444/04/28,18626084,754000.00,260.00,2900.00
أخرى,مخطط/3922,قطعة 22,1444/04/06,18432861,3100000.00,390.00,7949.00
أخرى,مخطط/أخرى,عدد العقارات 4-أول ق…,1444/04/16,18529533,5200000.00,4266.60,1219.00
أخرى,مخطط/أخرى,عدد العقارات 4-أول ق…,1444/04/16,18529173,20133000.00,9720.90,2071.00
اشبيليا,مخطط/2495/ أ,قطعة 261/1,1444/04/20,18560065,1100000.00,360.00,3056.00
اشبيليا,مخطط/2683,قطعة 141/1,1444/04/14,18507017,1529962.00,420.00,3643.00
اشبيليا,مخطط/2683,قطعة 333/1,1444/04/09,18458891,1400000.00,416.75,3359.00
اشبيليا,مخطط/2683,قطعة 359/1,1444/04/23,18593642,489665.00,375.00,1306.00
اشبيليا,مخطط/2877,قطعة 14/2,1444/04/20,18558272,1100000.00,390.00,2821.00
اشبيليا,مخطط/2888,قطعة 15/2,1444/04/09,18466637,1255626.00,337.50,3720.00
اشبيليا,مخطط/2888,قطعة 65/2,1444/04/05,18421277,1492400.00,364.00,4100.00
اشبيليا,مخطط/2903,قطعة 43/2,1444/04/21,18570130,700000.00,450.00,1556.00
اشبيليا,مخطط/2979,قطعة 137/1,1444/04/23,18594072,650000.00,375.00,1733.00
اشبيليا,مخطط/2979,قطعة 137/2,1444/04/23,18593993,650000.00,375.00,1733.00
اشبيليا,مخطط/2979,قطعة 490,1444/04/20,18560991,1522000.00,500.00,3044.00
اشبيليا,مخطط/2979,قطعة 496,1444/04/14,18505976,1171007.00,500.00,2342.00
اشبيليا,مخطط/2979,قطعة 515,1444/04/08,18447289,1750000.00,500.00,3500.00
اشبيليا,مخطط/2979,قطعة 770,1444/04/20,18560145,3550000.00,750.00,4733.00
اشبيليا,مخطط/2979,عدد العقارات 8-أول ق…,1444/04/08,18446897,14000000.00,4000.00,3500.00
اشبيليا,مخطط/3011,قطعة 184/1,1444/04/20,18564178,2455000.00,708.99,3463.00
اشبيليا,مخطط/3011,قطعة 185/1,1444/04/19,18552020,2865000.00,694.72,4124.00
اشبيليا,مخطط/3011,قطعة 425/2,1444/04/19,18549806,2094534.00,480.00,4364.00
اشبيليا,مخطط/3011,قطعة 425/2,1444/04/21,18573206,1400000.00,480.00,2917.00
اشبيليا,مخطط/3011,قطعة 509/1,1444/04/14,18504190,1788800.00,450.00,3975.00
اشبيليا,مخطط/3011,عدد العقارات 2-أول ق…,1444/04/20,18564032,2525000.00,624.64,4042.00
اشبيليا,مخطط/3011,عدد العقارات 2-أول ق…,1444/04/22,18583625,2415000.00,619.59,3898.00
اشبيليا,مخطط/3011,عدد العقارات 2-أول ق…,1444/04/22,18583638,2195000.00,603.14,3639.00
اشبيليا,مخطط/3159,قطعة 71/1,1444/04/14,18494170,80000.00,434.00,184.00
اشبيليا,مخطط/3183,قطعة 237/2,1444/04/09,18463423,881689.00,300.00,2939.00
اشبيليا,مخطط/3183,قطعة 24/1,1444/04/09,18465945,1400000.00,300.00,4667.00
اشبيليا,مخطط/3183,قطعة 350,1444/04/21,18568146,1086000.00,500.00,2172.00
اشبيليا,مخطط/3183,قطعة 693/2,1444/04/07,18437912,1188139.00,250.00,4753.00
اشبيليا,مخطط/بدون,قطعة 8/1,1444/04/28,18622455,1600000.00,525.00,3048.00
اشبيليا,مخطط/مربعات,قطعة 51/1,1444/04/20,18561539,1150000.00,315.75,3642.00
ال شريد,مخطط/3125,قطعة 857,1444/04/15,18522508,800000.00,2103.00,380.00
الأندلس,مخطط/3203/ 1,قطعة 1490/1,1444/04/15,18523537,990000.00,300.00,3300.00
الازدهار,مخطط/1822,قطعة 1050,1444/04/13,18490051,1320000.00,288.00,4583.00
الازدهار,مخطط/1822/ أ,قطعة 1307,1444/04/08,18451806,4100000.00,675.00,6074.00
الازدهار,مخطط/1822/ أ,قطعة 210/2,1444/04/02,18402730,1400000.00,375.00,3733.00
